型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
MG710WHF,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机,复合/中央净水,云钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,../MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,1,,
MG730HWF,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机,复合/中央净水,云钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,../MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,1,,
MG740WHF,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机,复合/中央净水,云钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,../MG710WHF MG730HWF MG740WHF说明书云钻系列净水机.pdf,1,,
MGX30WHF,MGX30WHF MGX45WHF Owner Manual Rev A,复合/中央净水,复合/中央净水,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MGX30WHF MGX45WHF Owner Manual Rev A.pdf,../MGX30WHF MGX45WHF Owner Manual Rev A.pdf,1,,
MGX45WHF,MGX30WHF MGX45WHF Owner Manual Rev A,复合/中央净水,复合/中央净水,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,MGX30WHF MGX45WHF Owner Manual Rev A.pdf,../MGX30WHF MGX45WHF Owner Manual Rev A.pdf,1,,
Q15REF,Q15REF软净一体机,其他,其他,"有害物质声明
质保条款
12
13
14
15
16
18
19
安全须知
F9OWATE
器具不打算由存在肢体
应照看好儿童
确保他们不玩耍本器具
使用随器具附带的新软管组件
旧软管组件不宜重复利用
并将其连接到持续
供电的220V50Hz
电源插座上。电源插座需在干燥的位置
应配有地线
设有过流保护装置
（入线路断路器或保险丝）
不要将本机安装在可能结冰的环境中
产品使用环境温度为4-40°C
水温要求为5-48°C。因
冰冻或热水所致设备损坏
不在质保之列
在开始安装之前请通读本说明书
然后准备好安装过程中所需所有材料和工具。请按照安
装说明的要求进行安装","及安装
F9OWATFR
开箱及安装
加装阀门
在软净一体机进水前的供水管道上加装阀门
方便在必要的时候切断通向软净一体机的水源
关闭通向热水器的电源和气源
打开房屋最高和最低的两个水龙头
将管路中剩余的水排掉
然后关上水龙头
打开包装箱
并去除软净一体机内部的所有包装材料
只需要将管接头插到位
然后用卡夹卡紧
管件就不会脱落
将软净一体机移动到安装地点
放置在一个光滑的水平面上
必要时可在下面垫一块2cm
的木板（木板大小须略大于盐
箱底面）。如有需要
可在木板下方加垫支撑物来达到平稳
将进出水管与房屋管路相连接
将出水（软水）管与标有
“Outlet”的一端相连接
如果未使用标配旁通阀
须自行安装三阀旁通系统
在安装螺纹管件时
注意不要用力过猛以致损坏塑料接头
注意不要将管路的重量完全加在进出水管端
以免损坏阀头",found,结构示意图,found,开箱,Q15REF软净一体机.pdf,../Q15REF软净一体机.pdf,1,有害物质声明 质保条款 12 12 -13 13 14 14 ：15 15 15 15 16 - 18 19 安全须知 F9OWATE A 安全须知 • 器具不打算由存在肢体、感官或精神能力缺陷或缺少使用经验和知识的人（包括儿童）使用， 除非有负责他们安全的人对他们进行与器具使用有关的监督或指导。 • 应照看好儿童，确保他们不玩耍本器具。 • 使用随器具附带的新软管组件，旧软管组件不宜重复利用。 • 本机只适于在DC24V环境下工作。一定要使用原厂提供的电源适配器，并将其连接到持续 供电的220V50Hz 电源插座,及安装 F9OWATFR 二、开箱及安装 1、加装阀门 在软净一体机进水前的供水管道上加装阀门，方便在必要的时候切断通向软净一体机的水源。 2、关闭通向热水器的电源和气源。 3、打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头。 4、打开包装箱，并去除软净一体机内部的所有包装材料。 5、将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只需要将管接头插到位， 然后用卡夹卡紧，管件就不会脱落。 6、将软净一体机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面
R15ECM,R15ECM 型软水机,软水机,软水机,"安装提示
有害物质声明
质保条款
11
12
13
14
15
16
17
18
安全须知
器具不打算由存在肢体
感官或精神能力缺陷或缺少使用经验和知识的人
（包括儿童）
使用
应照看好儿童
确保他们不玩耍本器具
使用随器具附带的新软管组件
旧软管组件不宜重复利用
本机只适于在
DC24V
环境下工作
一定要使用原厂提供的电源适配器
并将其连接到持续
供电的
220V50Hz
电源插座上
电源插座需在干燥的位置
应配有地线","及安装
开箱及安装
加装阀门
在软水机进水前的供水管道上加装阀门
方便在必要的时候切断通向软水机的水源
关闭通向热水器的电源和气源
打开房屋最高和最低的两个水龙头
将管路中剩余的水排掉
然后关上水龙头
打开包装箱
并去除软水机内部的所有包装材料
只需要将管接头插到位
然后用卡夹卡紧
管件就不会脱落
将软水机移动到安装地点
放置在一个光滑的水平面上
必要时可在下面垫一块
2cm
的木板(木板大小须略大于盐箱底
面)。如有需要
可在木板下方加垫支撑物来达到平稳
将进出水管与房屋管路相连接
将出水(软水)管与标有“Outlet”的一端相连接
如果未使用标配旁通阀
须自行安装三阀旁通系统
在安装螺纹管件时
注意不要用力过猛以致损坏塑料接头
注意不要将管路的重量完全加在进出水管端
以免损坏阀头
可对进出水端进行适当的支撑",found,结构示意图,found,开箱,R15ECM 型软水机.pdf,../R15ECM 型软水机.pdf,1,安装提示 有害物质声明 质保条款 11 11 11 12 12 13 14 14 14 14 15 16 17 18 安全须知 安全须知 器具不打算由存在肢体、 感官或精神能力缺陷或缺少使用经验和知识的人 （包括儿童） 使用， 除非有负责他们安全的人对他们进行与器具使用有关的监督或指导。 应照看好儿童， 确保他们不玩耍本器具。 使用随器具附带的新软管组件， 旧软管组件不宜重复利用。 本机只适于在 DC24V 环境下工作。 一定要使用原厂提供的电源适配器， 并将其连接到持续 供电的 220V50Hz 电源插座上。 电,及安装 开箱及安装 1、加装阀门 在软水机进水前的供水管道上加装阀门，方便在必要的时候切断通向软水机的水源。 2、关闭通向热水器的电源和气源。 3、打开房屋最高和最低的两个水龙头，将管路中剩余的水排掉，然后关上水龙头。 4、打开包装箱，并去除软水机内部的所有包装材料。 5、将标配旁通阀安装在机器上。注意出水口配有流量轮和感应器。卡接式管件的安装非常方便，只需要将管接头插到位， 然后用卡夹卡紧，管件就不会脱落。 6、将软水机移动到安装地点，放置在一个光滑的水平面上，必要时可在下面垫一块 2cm 的木板(木板大小须略大
R15WHF,R15WHF 型净水机,复合/中央净水,复合/中央净水,"尺寸及规格
安装提示
选择安装的位置
设备安装
使用方法
按键布局
安装清洗
首次安装设置
待机屏幕
启动手动清洗
查看中央净水机距下次清洗剩余天数
设置当前时间
设置净水清洗间隔
设置清洗时间
查看清洗次数
设置时间制式
服务提醒
设置中央净水机清洗时长
无线配网
10
禁用自动清洗
重新启用自动清洗
断电记忆功能",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,R15WHF 型净水机.pdf,../R15WHF 型净水机.pdf,1,尺寸及规格 安装提示 选择安装的位置 设备安装 使用方法 按键布局 安装清洗 首次安装设置 待机屏幕 启动手动清洗 查看中央净水机距下次清洗剩余天数 设置当前时间 设置净水清洗间隔 设置清洗时间 查看清洗次数 设置时间制式 服务提醒 设置中央净水机清洗时长 无线配网 1 2 2 2 2 3 3 4 4 5 7 7 7 7 8 8 8 8 8 9 9 9 9 10 10 目录 目 录 禁用自动清洗 重新启用自动清洗 断电记忆功能,
Refiner Boost 黑钻系列,Refiner Boost 黑钻系列,其他,黑钻系列,"的运行状 态（如阀门位置），以便排除故障。如果有错误代码 显示在滚动状态界面处，请联系经销商维修。 如需查看诊断界面，请按以下步骤操作
如出现错误代码，跳过第2步至第7步，直接进入第 8步
如想从任一滚动状态界面查看诊断界面（未显示错误 代码时），按选择键（〇）显示主菜单
按向下键（v）滚动菜单选项，直到高级设置被点亮
按选择键（〇），显示高级设置菜单
按向下键（v）滚动菜单选项，直到故障排除被点亮
按选择键（◎），显示故障排除菜单（见图82）。 ATroubleshootin g LDiagnostics Setup change s SLS calibration （图82...
选中诊断（被点亮）
按选择键（O），显示诊断界面（见图 83）。 《Diagnostics Time： 18:45 Position time： 0:00 （图83）
按向上键（A）或向下键（v），滚动整个列表。您 将看到以下项目： •• 时间（当前时间） •• 位置时间（保持在当前阀门位置的倒计时时间） •• 当前位置（阀门的当前位置：工作、注...","组装和安装所需小零件/零配件袋
本说明书/本手册",found,各部件,found,开箱,Refiner Boost 黑钻系列.pdf,../Refiner Boost 黑钻系列.pdf,1,的运行状 态（如阀门位置），以便排除故障。如果有错误代码 显示在滚动状态界面处，请联系经销商维修。 如需查看诊断界面，请按以下步骤操作： 1. 如出现错误代码，跳过第2步至第7步，直接进入第 8步。 2. 如想从任一滚动状态界面查看诊断界面（未显示错误 代码时），按选择键（〇）显示主菜单。 3. 按向下键（v）滚动菜单选项，直到高级设置被点亮。 4. 按选择键（〇），显示高级设置菜单。 5. 按向下键（v）滚动菜单选项，直到故障排除被点亮。 6. 按选择键（◎），显示故障排除菜单（见图82）。 ATroublesh,及安装 F9OWATER 开箱及安装 1. 开箱 3. 关闭供水系统 怡口 EVOLUTION 系列软水机出厂时采用纸箱包 a. 关闭增压泵或水表旁边的主供水阀。 装。纸箱内还包括一袋组装和安装软水机所需的小零件 b. 关闭热水器的电力或燃料供应设备。 和本说明书。 c. 打开高位和低位水龙头，排出户内水管中的所有水。 请仔细检查怡口软水机，确认是否存在运输损坏或 零件遗失问题。还应检查装运箱是否损坏。如损坏，请 4. 安装三阀旁通系统 联系运输公司。 安装三阀旁通系统时，请根据需要按照图 2连接管 对于运输过程中
Refiner Power 黑钻系列,Refiner Power 黑钻系列,其他,黑钻系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,Refiner Power 黑钻系列.pdf,../Refiner Power 黑钻系列.pdf,1,,
RO-75X,RO-75X 怡可飘,反渗透净水机,怡可飘,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,RO-75X 怡可飘.pdf,../RO-75X 怡可飘.pdf,1,,
RO75X,RO-75X 怡可飘,反渗透净水机,怡可飘,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,RO-75X 怡可飘.pdf,../RO-75X 怡可飘.pdf,1,,
S&V Softener软水机系列Owner Manual (Ver.04),S&V Softener软水机系列Owner Manual (Ver.04),软水机,软水机,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S&V Softener软水机系列Owner Manual (Ver.04).pdf,../S&V Softener软水机系列Owner Manual (Ver.04).pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
S&V WHF中央净系列Owner Manual (Ver.04),S&V WHF中央净系列Owner Manual (Ver.04,复合/中央净水,复合/中央净水,"出水
市政进水
～阀体
不锈钢过滤网组件
.中心管
颗粒活性炭
石英砂
布水器
（图2）
开箱检查
Packing
List
变压器
Transformer
排水管
Drain
House,3meters
卡子
Clips
安装接头
Installation
Tubes
软管固定夹
Hose
Clamps
（图3）
排污弯头
Adaptor
Elbow
旁通阀",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,S&V WHF中央净系列Owner Manual (Ver.04).pdf,../S&V WHF中央净系列Owner Manual (Ver.04).pdf,1,"市政自来水—＞不锈钢过滤网组件—＞颗粒活性炭＋石英砂（自动反冲）—＞净化水 出水 市政进水 寇 ～阀体 、不锈钢过滤网组件 .中心管 颗粒活性炭 石英砂 布水器 （图2） 三、开箱检查 Packing List 变压器 Transformer 排水管 Drain House,3meters 卡子 Clips 安装接头 Installation Tubes 软管固定夹 Hose Clamps （图3） 排污弯头 Adaptor Elbow 旁通阀 Bypass Valve 3 产品介绍 F9OWATFR 四、",
S80ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
S81ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
S82ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,2,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
V80ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
V81ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
V82ECM,S80ECM/S81ECM/S82ECM/V80ECM/V81ECM/V82ECM型银钻系列怡口牌软水机,软水机,银钻系列,"原水—
阳离子交换树脂（自动再生反冲）
软水
市政进水
盐箱
～阀体
树脂罐
吸盐阀
树脂","软水机从工厂发出时装在一个纸板箱中。该
纸板箱内还装有安装该设备所需要的小型零件袋
以及本手册
彻底检查软水机
看运输中是否有损坏或部
件遗失
还应检查纸箱是否有损坏。如果存在损坏
请联系当地销售商及运输公司
本公司不负责运
输途中造成的损坏
拆开包装材料。我们建议您在准备使用之前不要
打开小型零配件袋",found,结构示意图,found,开箱,S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,../S80ECM_S81ECM_S82ECM_V80ECM_V81ECM_V82ECM型银钻系列怡口牌软水机.pdf,1,原水— 阳离子交换树脂（自动再生反冲） 软水 软水 市政进水 盐箱 ～阀体 树脂罐 吸盐阀 \ 树脂 3 安装提示 F9OWATER 典型安装图 •软水 主水管 自来水 出水口 变压器 去控制器、 接 进水口 旁通阀 ［主管道 出水阀--040 ｛3阀旁通 出水口 进水阀 ～去控制器 进水口 排污管 自来水 旁通阀 盐箱溢流管 盐箱溢流管 排污管 约4cm 气隙 不 排污管应稳妥固定 约4cm 气隙 地漏 入口一出口管线连接可选方案 一是安装随软水机的旁通阀，或者三阀旁通系统。利用旁通阀，您可以在需要维修时切断到软,软水机从工厂发出时装在一个纸板箱中。该 纸板箱内还装有安装该设备所需要的小型零件袋， 以及本手册。 彻底检查软水机，看运输中是否有损坏或部 件遗失，还应检查纸箱是否有损坏。如果存在损坏， 请联系当地销售商及运输公司，本公司不负责运 输途中造成的损坏。 拆开包装材料。我们建议您在准备使用之前不要 打开小型零配件袋。 2.
S80WHF,S80WHF/S81WHF/S82WHF/V80WHF/V81WHF/V82WHF型银钻系列净水机,复合/中央净水,银钻系列,"出水
市政进水
～阀体
不锈钢过滤网组件
.中心管
颗粒活性炭
石英砂
布水器
（图2）
开箱检查
Packing
List
变压器
Transformer
排水管
Drain
House,3meters
卡子
Clips
安装接头
Installation
Tubes
软管固定夹
Hose
Clamps
（图3）
排污弯头
Adaptor
Elbow
旁通阀",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,../S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,1,"市政自来水—＞不锈钢过滤网组件—＞颗粒活性炭＋石英砂（自动反冲）—＞净化水 出水 市政进水 寇 ～阀体 、不锈钢过滤网组件 .中心管 颗粒活性炭 石英砂 布水器 （图2） 三、开箱检查 Packing List 变压器 Transformer 排水管 Drain House,3meters 卡子 Clips 安装接头 Installation Tubes 软管固定夹 Hose Clamps （图3） 排污弯头 Adaptor Elbow 旁通阀 Bypass Valve 3 产品介绍 F9OWATFR 四、",
S81WHF,S80WHF/S81WHF/S82WHF/V80WHF/V81WHF/V82WHF型银钻系列净水机,复合/中央净水,银钻系列,"出水
市政进水
～阀体
不锈钢过滤网组件
.中心管
颗粒活性炭
石英砂
布水器
（图2）
开箱检查
Packing
List
变压器
Transformer
排水管
Drain
House,3meters
卡子
Clips
安装接头
Installation
Tubes
软管固定夹
Hose
Clamps
（图3）
排污弯头
Adaptor
Elbow
旁通阀",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,../S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,1,"市政自来水—＞不锈钢过滤网组件—＞颗粒活性炭＋石英砂（自动反冲）—＞净化水 出水 市政进水 寇 ～阀体 、不锈钢过滤网组件 .中心管 颗粒活性炭 石英砂 布水器 （图2） 三、开箱检查 Packing List 变压器 Transformer 排水管 Drain House,3meters 卡子 Clips 安装接头 Installation Tubes 软管固定夹 Hose Clamps （图3） 排污弯头 Adaptor Elbow 旁通阀 Bypass Valve 3 产品介绍 F9OWATFR 四、",
S82WHF,S80WHF/S81WHF/S82WHF/V80WHF/V81WHF/V82WHF型银钻系列净水机,复合/中央净水,银钻系列,"出水
市政进水
～阀体
不锈钢过滤网组件
.中心管
颗粒活性炭
石英砂
布水器
（图2）
开箱检查
Packing
List
变压器
Transformer
排水管
Drain
House,3meters
卡子
Clips
安装接头
Installation
Tubes
软管固定夹
Hose
Clamps
（图3）
排污弯头
Adaptor
Elbow
旁通阀",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,../S80WHF_S81WHF_S82WHF_V80WHF_V81WHF_V82WHF型银钻系列净水机.pdf,2,"市政自来水—＞不锈钢过滤网组件—＞颗粒活性炭＋石英砂（自动反冲）—＞净化水 出水 市政进水 寇 ～阀体 、不锈钢过滤网组件 .中心管 颗粒活性炭 石英砂 布水器 （图2） 三、开箱检查 Packing List 变压器 Transformer 排水管 Drain House,3meters 卡子 Clips 安装接头 Installation Tubes 软管固定夹 Hose Clamps （图3） 排污弯头 Adaptor Elbow 旁通阀 Bypass Valve 3 产品介绍 F9OWATFR 四、",
